draw_id;draw_number;draw_sequence;date;day;rule_set;n1;n2;n3;n4;n5;n6;complementary;chance;second_n1;second_n2;second_n3;second_n4;second_n5;source_archive;source_entry
2008081;2008081;;2008-10-06;LUNDI;modern-5-plus-chance;19;33;41;24;27;;;9;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008082;2008082;;2008-10-08;MERCREDI;modern-5-plus-chance;24;48;32;41;22;;;1;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008083;2008083;;2008-10-11;SAMEDI;modern-5-plus-chance;46;22;10;39;20;;;4;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008084;2008084;;2008-10-13;LUNDI;modern-5-plus-chance;11;10;41;37;48;;;4;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008085;2008085;;2008-10-15;MERCREDI;modern-5-plus-chance;49;28;18;20;40;;;1;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008086;2008086;;2008-10-18;SAMEDI;modern-5-plus-chance;44;35;4;32;39;;;10;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008087;2008087;;2008-10-20;LUNDI;modern-5-plus-chance;43;7;48;31;15;;;3;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008088;2008088;;2008-10-22;MERCREDI;modern-5-plus-chance;11;28;12;48;14;;;2;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008089;2008089;;2008-10-25;SAMEDI;modern-5-plus-chance;13;11;22;46;19;;;3;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008090;2008090;;2008-10-27;LUNDI;modern-5-plus-chance;46;37;44;4;6;;;2;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008091;2008091;;2008-10-29;MERCREDI;modern-5-plus-chance;43;28;22;41;49;;;4;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008092;2008092;;2008-11-01;SAMEDI;modern-5-plus-chance;22;4;27;36;45;;;3;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008093;2008093;;2008-11-03;LUNDI;modern-5-plus-chance;26;2;23;20;24;;;8;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008094;2008094;;2008-11-05;MERCREDI;modern-5-plus-chance;47;4;38;15;8;;;7;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008095;2008095;;2008-11-08;SAMEDI;modern-5-plus-chance;25;35;33;5;22;;;9;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008096;2008096;;2008-11-10;LUNDI;modern-5-plus-chance;12;9;21;45;38;;;6;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008097;2008097;;2008-11-12;MERCREDI;modern-5-plus-chance;45;35;34;40;23;;;5;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008098;2008098;;2008-11-15;SAMEDI;modern-5-plus-chance;41;10;48;43;22;;;3;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008099;2008099;;2008-11-17;LUNDI;modern-5-plus-chance;1;6;19;23;41;;;6;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008100;2008100;;2008-11-19;MERCREDI;modern-5-plus-chance;34;26;37;41;2;;;4;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008101;2008101;;2008-11-22;SAMEDI;modern-5-plus-chance;45;12;30;36;20;;;6;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008102;2008102;;2008-11-24;LUNDI;modern-5-plus-chance;43;36;31;30;17;;;8;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008103;2008103;;2008-11-26;MERCREDI;modern-5-plus-chance;49;11;13;25;28;;;5;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008104;2008104;;2008-11-29;SAMEDI;modern-5-plus-chance;18;36;20;32;22;;;7;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008105;2008105;;2008-12-01;LUNDI;modern-5-plus-chance;32;15;19;37;38;;;1;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008106;2008106;;2008-12-03;MERCREDI;modern-5-plus-chance;26;29;34;42;31;;;10;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008107;2008107;;2008-12-06;SAMEDI;modern-5-plus-chance;48;2;5;13;24;;;4;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008108;2008108;;2008-12-08;LUNDI;modern-5-plus-chance;29;15;1;31;11;;;8;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008109;2008109;;2008-12-10;MERCREDI;modern-5-plus-chance;41;38;10;35;11;;;3;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008110;2008110;;2008-12-13;SAMEDI;modern-5-plus-chance;24;38;8;42;31;;;7;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008111;2008111;;2008-12-15;LUNDI;modern-5-plus-chance;48;5;15;2;27;;;8;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008112;2008112;;2008-12-17;MERCREDI;modern-5-plus-chance;49;44;31;13;33;;;9;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008113;2008113;;2008-12-20;SAMEDI;modern-5-plus-chance;41;46;2;22;26;;;5;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008114;2008114;;2008-12-22;LUNDI;modern-5-plus-chance;5;27;2;35;48;;;3;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008115;2008115;;2008-12-24;MERCREDI;modern-5-plus-chance;33;27;2;41;4;;;5;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008116;2008116;;2008-12-27;SAMEDI;modern-5-plus-chance;36;47;17;49;37;;;10;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008117;2008117;;2008-12-29;LUNDI;modern-5-plus-chance;26;38;14;21;27;;;4;;;;;;2008-10-to-2017-03;nouveau_loto.csv
2008118;2008118;;2008-12-31;MERCREDI;modern-5-plus-chance;11;5;20;30;24;;;8;;;;;;2008-10-to-2017-03;nouveau_loto.csv
